"TreeID","species","SPlocation","Score","Date","Year","JulianDay","Girth_cm","DateRange","Start_Year","End_Year","Period"
22,"quercus.robur","Nursery Field",2,"2016-04-19",2016,110,165,"2016-2019
",2016,2019,2
23,"quercus.robur","Nursery Field",2,"2010-04-10",2010,100,137,"2007-2015
",2007,2015,1
23,"quercus.robur","Nursery Field",2,"2018-04-17",2018,107,140,"2016-2019
",2016,2019,2
24,"quercus.robur","Nursery Field",2,"2007-04-06",2007,96,146,"2007-2015
",2007,2015,1
24,"quercus.robur","Nursery Field",2,"2016-04-16",2016,107,156,"2016-2019
",2016,2019,2
26,"quercus.robur","Drive hill",2,"2013-04-26",2013,116,215,"2007-2015
",2007,2015,1
26,"quercus.robur","Drive hill",2,"2018-04-19",2018,109,238,"2016-2019
",2016,2019,2
27,"quercus.robur","Drive Hill",2,"2013-04-26",2013,116,144,"2007-2015
",2007,2015,1
27,"quercus.robur","Drive Hill",2,"2018-04-19",2018,109,174,"2016-2019
",2016,2019,2
28,"quercus.robur","Elm slope",2,"2008-04-21",2008,112,206,"2007-2015
",2007,2015,1
28,"quercus.robur","Elm slope",2,"2016-04-14",2016,105,274,"2016-2019
",2016,2019,2
29,"quercus.robur","Elm slope",2,"2009-03-30",2009,89,171,"2007-2015
",2007,2015,1
30,"quercus.robur","Elm slope",2,"2011-04-07",2011,97,161,"2007-2015
",2007,2015,1
31,"quercus.robur","Elm slope",2,"2012-03-28",2012,88,194,"2007-2015
",2007,2015,1
31,"quercus.robur","Elm slope",2,"2017-04-06",2017,96,229,"2016-2019
",2016,2019,2
32,"quercus.robur","Elm slope",2,"2007-04-04",2007,94,88,"2007-2015
",2007,2015,1
33,"quercus.robur","Elm slope",2,"2007-04-10",2007,100,80,"2007-2015
",2007,2015,1
35,"quercus.robur","Elm slope",2,"2013-04-28",2013,118,139,"2007-2015
",2007,2015,1
36,"quercus.robur","Elm slope",2,"2013-04-28",2013,118,146,"2007-2015
",2007,2015,1
37,"quercus.robur","Gunnes's hill",2,"2007-04-04",2007,94,139,"2007-2015
",2007,2015,1
38,"quercus.robur","Gunnes's hill",2,"2007-04-04",2007,94,99,"2007-2015
",2007,2015,1
39,"quercus.robur","Gunnes's hill",2,"2011-04-07",2011,97,117,"2007-2015
",2007,2015,1
39,"quercus.robur","Gunnes's hill",2,"2018-04-20",2018,110,126,"2016-2019
",2016,2019,2
40,"quercus.robur","Gunnes's hill",2,"2013-04-26",2013,116,143,"2007-2015
",2007,2015,1
41,"quercus.robur","Gunnes's hill",2,"2007-04-06",2007,96,126,"2007-2015
",2007,2015,1
42,"quercus.robur","Gunnes's hill",2,"2007-04-04",2007,94,167,"2007-2015
",2007,2015,1
43,"quercus.robur","Gunnes's hill",2,"2011-04-11",2011,101,133,"2007-2015
",2007,2015,1
44,"quercus.robur","Gunnes's hill",2,"2011-04-15",2011,105,135,"2007-2015
",2007,2015,1
44,"quercus.robur","Gunnes's hill",2,"2017-04-13",2017,103,152,"2016-2019
",2016,2019,2
45,"quercus.robur","Gunnes's hill",2,"2013-05-04",2013,124,110,"2007-2015
",2007,2015,1
46,"quercus.robur","Gunnes's hill",2,"2013-05-02",2013,122,138,"2007-2015
",2007,2015,1
46,"quercus.robur","Gunnes's hill",2,"2017-04-10",2017,100,145,"2016-2019
",2016,2019,2
47,"quercus.robur","Gunnes's hill",2,"2013-05-02",2013,122,76,"2007-2015
",2007,2015,1
47,"quercus.robur","Gunnes's hill",2,"2016-04-25",2016,116,85,"2016-2019
",2016,2019,2
48,"quercus.robur","Gunnes's hill",2,"2011-04-09",2011,99,66,"2007-2015
",2007,2015,1
49,"quercus.robur","Gunnes's hill",2,"2011-04-07",2011,97,126,"2007-2015
",2007,2015,1
49,"quercus.robur","Gunnes's hill",2,"2017-04-15",2017,105,132,"2016-2019
",2016,2019,2
50,"quercus.robur","Gunnes's hill",2,"2013-04-28",2013,118,75,"2007-2015
",2007,2015,1
51,"quercus.robur","Gunnes's hill",2,"2011-04-09",2011,99,118,"2007-2015
",2007,2015,1
53,"quercus.robur","Gunnes's hill",2,"2011-04-07",2011,97,143,"2007-2015
",2007,2015,1
54,"quercus.robur","Gunnes's hill",2,"2007-04-14",2007,104,85,"2007-2015
",2007,2015,1
55,"quercus.robur","Gunnes's hill",2,"2007-04-06",2007,96,192,"2007-2015
",2007,2015,1
56,"quercus.robur","Gunnes's hill",2,"2013-05-02",2013,122,90,"2007-2015
",2007,2015,1
57,"quercus.robur","Gunnes's hill",2,"2013-04-24",2013,114,160,"2007-2015
",2007,2015,1
58,"quercus.robur","Gunnes's hill",2,"2011-04-09",2011,99,199,"2007-2015
",2007,2015,1
59,"quercus.robur","Gunnes's hill",2,"2013-04-30",2013,120,90,"2007-2015
",2007,2015,1
60,"quercus.robur","Gunnes's hill",2,"2007-04-06",2007,96,150,"2007-2015
",2007,2015,1
61,"quercus.robur","Gunnes's hill",2,"2009-04-06",2009,96,180,"2007-2015
",2007,2015,1
62,"quercus.robur","Gunnes's hill",2,"2018-04-20",2018,110,159,"2016-2019
",2016,2019,2
64,"quercus.robur","Gunnes's hill",2,"2011-04-07",2011,97,192,"2007-2015
",2007,2015,1
65,"quercus.robur","Merten's acres",2,"2011-04-08",2011,98,125,"2007-2015
",2007,2015,1
67,"quercus.robur","Merten's acres",2,"2007-04-10",2007,100,65,"2007-2015
",2007,2015,1
69,"quercus.robur","Merten's acres",2,"2015-04-17",2015,107,400,"2007-2015
",2007,2015,1
70,"quercus.robur","Merten's acres",2,"2007-04-04",2007,94,378,"2007-2015
",2007,2015,1
71,"quercus.robur","Merten's acres",2,"2007-04-08",2007,98,95,"2007-2015
",2007,2015,1
72,"quercus.robur","Merten's acres",2,"2011-04-08",2011,98,100,"2007-2015
",2007,2015,1
74,"quercus.robur","Merten's acres",2,"2013-04-25",2013,115,78,"2007-2015
",2007,2015,1
75,"quercus.robur","Merten's acres",2,"2013-04-27",2013,117,120,"2007-2015
",2007,2015,1
76,"quercus.robur","Merten's acres",2,"2013-04-29",2013,119,69,"2007-2015
",2007,2015,1
77,"quercus.robur","Merten's acres",2,"2011-04-06",2011,96,69,"2007-2015
",2007,2015,1
77,"quercus.robur","Merten's acres",2,"2016-04-13",2016,104,71,"2016-2019
",2016,2019,2
78,"quercus.robur","Merten's acres",2,"2007-04-04",2007,94,64,"2007-2015
",2007,2015,1
79,"quercus.robur","Merten's acres",2,"2011-04-04",2011,94,82,"2007-2015
",2007,2015,1
80,"quercus.robur","Merten's acres",2,"2008-04-07",2008,98,127,"2007-2015
",2007,2015,1
80,"quercus.robur","Merten's acres",2,"2018-04-17",2018,107,139,"2016-2019
",2016,2019,2
81,"quercus.robur","Merten's acres",2,"2011-04-06",2011,96,123,"2007-2015
",2007,2015,1
82,"quercus.robur","Merten's acres",2,"2011-04-06",2011,96,153,"2007-2015
",2007,2015,1
83,"quercus.robur","Merten's acres",2,"2013-05-01",2013,121,105,"2007-2015
",2007,2015,1
83,"quercus.robur","Merten's acres",2,"2017-04-15",2017,105,109,"2016-2019
",2016,2019,2
84,"quercus.robur","Merten's acres",2,"2013-04-25",2013,115,53,"2007-2015
",2007,2015,1
85,"quercus.robur","Merten's acres",2,"2013-04-25",2013,115,90,"2007-2015
",2007,2015,1
86,"quercus.robur","Merten's acres",2,"2011-04-04",2011,94,186,"2007-2015
",2007,2015,1
88,"quercus.robur","Merten's acres",2,"2013-04-25",2013,115,92,"2007-2015
",2007,2015,1
89,"quercus.robur","Merten's acres",2,"2007-04-04",2007,94,82,"2007-2015
",2007,2015,1
89,"quercus.robur","Merten's acres",2,"2016-04-18",2016,109,75,"2016-2019
",2016,2019,2
90,"quercus.robur","Merten's acres",2,"2007-04-04",2007,94,91,"2007-2015
",2007,2015,1
90,"quercus.robur","Merten's acres",2,"2016-04-18",2016,109,80,"2016-2019
",2016,2019,2
91,"quercus.robur","Merten's acres",2,"2008-04-27",2008,118,61,"2007-2015
",2007,2015,1
92,"quercus.robur","Merten's acres",2,"2009-04-14",2009,104,94,"2007-2015
",2007,2015,1
92,"quercus.robur","Merten's acres",2,"2016-04-18",2016,109,92,"2016-2019
",2016,2019,2
93,"quercus.robur","Merten's acres",2,"2015-04-21",2015,111,106,"2007-2015
",2007,2015,1
93,"quercus.robur","Merten's acres",2,"2016-04-18",2016,109,110,"2016-2019
",2016,2019,2
94,"quercus.robur","Merten's acres",2,"2013-05-01",2013,121,71,"2007-2015
",2007,2015,1
96,"quercus.robur","Merten's acres",2,"2007-04-06",2007,96,104,"2007-2015
",2007,2015,1
96,"quercus.robur","Merten's acres",2,"2016-04-18",2016,109,105,"2016-2019
",2016,2019,2
97,"quercus.robur","Merten's acres",2,"2015-04-17",2015,107,125,"2007-2015
",2007,2015,1
97,"quercus.robur","Merten's acres",2,"2016-04-18",2016,109,138,"2016-2019
",2016,2019,2
98,"quercus.robur","Merten's acres",2,"2008-04-09",2008,100,94,"2007-2015
",2007,2015,1
98,"quercus.robur","Merten's acres",2,"2016-04-13",2016,104,100,"2016-2019
",2016,2019,2
99,"quercus.robur","Merten's acres",2,"2007-04-06",2007,96,113,"2007-2015
",2007,2015,1
100,"quercus.robur","Observatory ridge",2,"2013-04-25",2013,115,109,"2007-2015
",2007,2015,1
101,"quercus.robur","Observatory ridge",2,"2013-05-01",2013,121,89,"2007-2015
",2007,2015,1
102,"quercus.robur","Observatory ridge",2,"2013-04-25",2013,115,174,"2007-2015
",2007,2015,1
102,"quercus.robur","Observatory ridge",2,"2018-04-12",2018,102,177,"2016-2019
",2016,2019,2
103,"quercus.robur","Observatory ridge",2,"2011-04-06",2011,96,110,"2007-2015
",2007,2015,1
104,"quercus.robur","Observatory ridge",2,"2007-04-10",2007,100,78,"2007-2015
",2007,2015,1
105,"quercus.robur","Observatory ridge",2,"2007-04-04",2007,94,134,"2007-2015
",2007,2015,1
106,"quercus.robur","Observatory ridge",2,"2011-04-18",2011,108,71,"2007-2015
",2007,2015,1
107,"quercus.robur","Observatory ridge",2,"2013-04-25",2013,115,122,"2007-2015
",2007,2015,1
108,"quercus.robur","Observatory ridge",2,"2007-04-02",2007,92,97,"2007-2015
",2007,2015,1
109,"quercus.robur","Observatory ridge",2,"2011-04-10",2011,100,120,"2007-2015
",2007,2015,1
110,"quercus.robur","Observatory ridge",2,"2011-04-10",2011,100,78,"2007-2015
",2007,2015,1
111,"quercus.robur","Observatory ridge",2,"2007-04-06",2007,96,55,"2007-2015
",2007,2015,1
113,"quercus.robur","Observatory ridge",2,"2007-04-06",2007,96,90,"2007-2015
",2007,2015,1
114,"quercus.robur","Observatory ridge",2,"2013-04-25",2013,115,85,"2007-2015
",2007,2015,1
115,"quercus.robur","Observatory ridge",2,"2011-04-08",2011,98,68,"2007-2015
",2007,2015,1
116,"quercus.robur","Observatory ridge",2,"2015-04-11",2015,101,133,"2007-2015
",2007,2015,1
116,"quercus.robur","Observatory ridge",2,"2018-04-12",2018,102,142,"2016-2019
",2016,2019,2
118,"quercus.robur","Observatory ridge",2,"2011-04-10",2011,100,63,"2007-2015
",2007,2015,1
119,"quercus.robur","Observatory ridge",2,"2011-04-10",2011,100,87,"2007-2015
",2007,2015,1
120,"quercus.robur","Observatory ridge",2,"2013-04-27",2013,117,80,"2007-2015
",2007,2015,1
121,"quercus.robur","Observatory ridge",2,"2011-04-08",2011,98,104,"2007-2015
",2007,2015,1
122,"quercus.robur","Observatory ridge",2,"2007-04-04",2007,94,113,"2007-2015
",2007,2015,1
123,"quercus.robur","Observatory ridge",2,"2011-04-04",2011,94,382,"2007-2015
",2007,2015,1
124,"quercus.robur","Observatory ridge",2,"2007-04-10",2007,100,67,"2007-2015
",2007,2015,1
125,"quercus.robur","Observatory ridge",2,"2007-04-06",2007,96,87,"2007-2015
",2007,2015,1
126,"quercus.robur","Observatory ridge",2,"2013-04-25",2013,115,109,"2007-2015
",2007,2015,1
127,"quercus.robur","Observatory ridge",2,"2013-04-29",2013,119,171,"2007-2015
",2007,2015,1
127,"quercus.robur","Observatory ridge",2,"2017-04-10",2017,100,189,"2016-2019
",2016,2019,2
128,"quercus.robur","Observatory ridge",2,"2013-04-25",2013,115,159,"2007-2015
",2007,2015,1
129,"quercus.robur","Observatory ridge",2,"2007-04-06",2007,96,211,"2007-2015
",2007,2015,1
130,"quercus.robur","Observatory ridge",2,"2013-04-25",2013,115,85,"2007-2015
",2007,2015,1
131,"quercus.robur","Observatory ridge",2,"2007-04-04",2007,94,118,"2007-2015
",2007,2015,1
131,"quercus.robur","Observatory ridge",2,"2018-04-17",2018,107,170,"2016-2019
",2016,2019,2
132,"quercus.robur","Observatory ridge",2,"2007-04-04",2007,94,122,"2007-2015
",2007,2015,1
133,"quercus.robur","Observatory ridge",2,"2013-04-25",2013,115,112,"2007-2015
",2007,2015,1
134,"quercus.robur","Observatory ridge",2,"2007-04-06",2007,96,141,"2007-2015
",2007,2015,1
135,"quercus.robur","Merten's acres",2,"2013-04-25",2013,115,442,"2007-2015
",2007,2015,1
136,"quercus.robur","Rookery slope",2,"2013-04-28",2013,118,114,"2007-2015
",2007,2015,1
137,"quercus.robur","Rookery slope",2,"2011-04-11",2011,101,114,"2007-2015
",2007,2015,1
137,"quercus.robur","Rookery slope",2,"2017-04-10",2017,100,132,"2016-2019
",2016,2019,2
138,"quercus.robur","Rookery slope",2,"2018-04-21",2018,111,124,"2016-2019
",2016,2019,2
139,"quercus.robur","Rookery slope",2,"2017-04-18",2017,108,81,"2016-2019
",2016,2019,2
140,"quercus.robur","Rookery slope",2,"2012-03-28",2012,88,134,"2007-2015
",2007,2015,1
140,"quercus.robur","Rookery slope",2,"2016-04-20",2016,111,144,"2016-2019
",2016,2019,2
141,"quercus.robur","The elms",2,"2007-04-06",2007,96,82,"2007-2015
",2007,2015,1
142,"quercus.robur","The elms",2,"2011-04-10",2011,100,82,"2007-2015
",2007,2015,1
143,"quercus.robur","Nash's field",2,"2009-04-12",2009,102,115,"2007-2015
",2007,2015,1
143,"quercus.robur","Nash's field",2,"2018-04-21",2018,111,169,"2016-2019
",2016,2019,2
144,"quercus.robur","Nash's field",2,"2013-04-29",2013,119,39,"2007-2015
",2007,2015,1
145,"quercus.robur","Nash's field",2,"2011-04-08",2011,98,45,"2007-2015
",2007,2015,1
146,"quercus.robur","Nash's field",2,"2007-04-06",2007,96,109,"2007-2015
",2007,2015,1
147,"quercus.robur","Nash's field",2,"2012-04-08",2012,99,168,"2007-2015
",2007,2015,1
147,"quercus.robur","Nash's field",2,"2016-04-18",2016,109,271,"2016-2019
",2016,2019,2
148,"quercus.robur","Nash's field",2,"2007-04-10",2007,100,59,"2007-2015
",2007,2015,1
149,"quercus.robur","Nash's field",2,"2007-04-10",2007,100,52,"2007-2015
",2007,2015,1
151,"quercus.robur","Nash's field",2,"2011-04-08",2011,98,56,"2007-2015
",2007,2015,1
151,"quercus.robur","Nash's field",2,"2018-04-21",2018,111,67,"2016-2019
",2016,2019,2
152,"quercus.robur","Nash's field",2,"2007-04-06",2007,96,33,"2007-2015
",2007,2015,1
153,"quercus.robur","Nash's field",2,"2011-04-10",2011,100,51,"2007-2015
",2007,2015,1
154,"quercus.robur","Nash's field",2,"2007-04-06",2007,96,58,"2007-2015
",2007,2015,1
155,"quercus.robur","Nash's field",2,"2011-04-10",2011,100,44,"2007-2015
",2007,2015,1
156,"quercus.robur","Nash's field",2,"2007-04-12",2007,102,27,"2007-2015
",2007,2015,1
157,"quercus.robur","Nash's field",2,"2007-04-14",2007,104,31,"2007-2015
",2007,2015,1
158,"quercus.robur","Nash's field",2,"2011-04-12",2011,102,27,"2007-2015
",2007,2015,1
160,"quercus.robur","Nash's field",2,"2011-04-08",2011,98,86,"2007-2015
",2007,2015,1
161,"quercus.robur","Nash's field",2,"2007-04-08",2007,98,98,"2007-2015
",2007,2015,1
162,"quercus.robur","Nash's field",2,"2007-04-08",2007,98,41,"2007-2015
",2007,2015,1
163,"quercus.robur","Nash's field",2,"2011-04-10",2011,100,49,"2007-2015
",2007,2015,1
164,"quercus.robur","Nash's field",2,"2011-04-06",2011,96,47,"2007-2015
",2007,2015,1
165,"quercus.robur","Nash's field",2,"2011-04-12",2011,102,67,"2007-2015
",2007,2015,1
166,"quercus.robur","Nash's field",2,"2007-04-04",2007,94,79,"2007-2015
",2007,2015,1
167,"quercus.robur","Nash's field",2,"2011-04-10",2011,100,21,"2007-2015
",2007,2015,1
168,"quercus.robur","Nash's field",2,"2013-05-05",2013,125,15,"2007-2015
",2007,2015,1
169,"quercus.robur","Nash's field",2,"2011-04-08",2011,98,35,"2007-2015
",2007,2015,1
170,"quercus.robur","Nash's field",2,"2011-04-12",2011,102,44,"2007-2015
",2007,2015,1
171,"quercus.robur","Nash's field",2,"2013-04-29",2013,119,41,"2007-2015
",2007,2015,1
172,"quercus.robur","Nash's field",2,"2007-04-04",2007,94,72,"2007-2015
",2007,2015,1
174,"quercus.robur","Nash's field",2,"2013-04-25",2013,115,109,"2007-2015
",2007,2015,1
175,"quercus.robur","Nash's field",2,"2008-04-27",2008,118,28,"2007-2015
",2007,2015,1
176,"quercus.robur","Nash's field",2,"2011-04-10",2011,100,49,"2007-2015
",2007,2015,1
177,"quercus.robur","Nash's field",2,"2007-04-06",2007,96,117,"2007-2015
",2007,2015,1
178,"quercus.robur","Nash's field",2,"2013-05-11",2013,131,38,"2007-2015
",2007,2015,1
179,"quercus.robur","Nash's field",2,"2007-04-08",2007,98,45,"2007-2015
",2007,2015,1
179,"quercus.robur","Nash's field",2,"2018-04-21",2018,111,50,"2016-2019
",2016,2019,2
181,"quercus.robur","Nash's field",2,"2013-05-01",2013,121,44,"2007-2015
",2007,2015,1
182,"quercus.robur","Nash's field",2,"2011-04-08",2011,98,31,"2007-2015
",2007,2015,1
182,"quercus.robur","Nash's field",2,"2018-04-17",2018,107,26,"2016-2019
",2016,2019,2
184,"quercus.robur","Nash's copse",2,"2013-04-23",2013,113,200,"2007-2015
",2007,2015,1
185,"quercus.robur","Nash's copse",2,"2013-04-29",2013,119,220,"2007-2015
",2007,2015,1
186,"quercus.robur","Farm wood",2,"2007-04-04",2007,94,176,"2007-2015
",2007,2015,1
187,"quercus.robur","Farm wood",2,"2007-04-04",2007,94,448,"2007-2015
",2007,2015,1
188,"quercus.robur","Farm wood",2,"2015-04-09",2015,99,199,"2007-2015
",2007,2015,1
189,"quercus.robur","Farm wood",2,"2007-04-06",2007,96,152,"2007-2015
",2007,2015,1
190,"quercus.robur","Farm wood",2,"2012-03-27",2012,87,92,"2007-2015
",2007,2015,1
191,"quercus.robur","Farm wood",2,"2007-04-06",2007,96,121,"2007-2015
",2007,2015,1
192,"quercus.robur","Farm wood",2,"2007-04-04",2007,94,154,"2007-2015
",2007,2015,1
193,"quercus.robur","Farm wood",2,"2007-04-06",2007,96,55,"2007-2015
",2007,2015,1
194,"quercus.robur","Farm wood",2,"2008-04-21",2008,112,61,"2007-2015
",2007,2015,1
196,"quercus.robur","Pound hill field",2,"2010-04-14",2010,104,218,"2007-2015
",2007,2015,1
197,"quercus.robur","Pound hill field",2,"2008-04-02",2008,93,176,"2007-2015
",2007,2015,1
198,"quercus.robur","Pound hill field",2,"2010-04-14",2010,104,169,"2007-2015
",2007,2015,1
199,"quercus.robur","Pound hill field",2,"2007-04-20",2007,110,64,"2007-2015
",2007,2015,1
200,"quercus.robur","Pound hill field",2,"2007-04-08",2007,98,292,"2007-2015
",2007,2015,1
201,"quercus.robur","Pound hill field",2,"2010-04-16",2010,106,124,"2007-2015
",2007,2015,1
202,"quercus.robur","Pound hill field",2,"2008-04-30",2008,121,89,"2007-2015
",2007,2015,1
203,"quercus.robur","Pound hill field",2,"2010-04-16",2010,106,81,"2007-2015
",2007,2015,1
204,"quercus.robur","Pound hill field",2,"2010-04-22",2010,112,190,"2007-2015
",2007,2015,1
205,"quercus.robur","Pound hill field",2,"2007-04-08",2007,98,62,"2007-2015
",2007,2015,1
206,"quercus.robur","Pound hill field",2,"2012-04-21",2012,112,64,"2007-2015
",2007,2015,1
207,"quercus.robur","Pound hill field",2,"2012-04-17",2012,108,74,"2007-2015
",2007,2015,1
209,"quercus.robur","Pound hill field",2,"2007-04-06",2007,96,121,"2007-2015
",2007,2015,1
209,"quercus.robur","Pound hill field",2,"2016-04-16",2016,107,132,"2016-2019
",2016,2019,2
210,"quercus.robur","Pound hill field",2,"2012-04-03",2012,94,36,"2007-2015
",2007,2015,1
211,"quercus.robur","Cheapside field",2,"2007-04-06",2007,96,101,"2007-2015
",2007,2015,1
212,"quercus.robur","Cheapside field",2,"2012-04-01",2012,92,83,"2007-2015
",2007,2015,1
213,"quercus.robur","Cheapside field",2,"2012-04-03",2012,94,63,"2007-2015
",2007,2015,1
214,"quercus.robur","Cheapside field",2,"2007-04-10",2007,100,139,"2007-2015
",2007,2015,1
215,"quercus.robur","Cheapside field",2,"2010-04-14",2010,104,124,"2007-2015
",2007,2015,1
216,"quercus.robur","Cheapside field",2,"2007-04-06",2007,96,77,"2007-2015
",2007,2015,1
217,"quercus.robur","Cheapside field",2,"2010-04-22",2010,112,100,"2007-2015
",2007,2015,1
218,"quercus.robur","Cheapside field",2,"2012-04-01",2012,92,137,"2007-2015
",2007,2015,1
219,"quercus.robur","Cheapside field",2,"2007-04-10",2007,100,193,"2007-2015
",2007,2015,1
220,"quercus.robur","Cheapside field",2,"2012-04-03",2012,94,86,"2007-2015
",2007,2015,1
221,"quercus.robur","Cheapside field",2,"2012-04-11",2012,102,166,"2007-2015
",2007,2015,1
222,"quercus.robur","Cheapside field",2,"2012-04-11",2012,102,112,"2007-2015
",2007,2015,1
223,"quercus.robur","Cheapside field",2,"2012-04-03",2012,94,117,"2007-2015
",2007,2015,1
224,"quercus.robur","Cheapside field",2,"2010-04-16",2010,106,80,"2007-2015
",2007,2015,1
225,"quercus.robur","Cheapside field",2,"2012-04-25",2012,116,103,"2007-2015
",2007,2015,1
226,"quercus.robur","Cheapside field",2,"2007-04-06",2007,96,83,"2007-2015
",2007,2015,1
227,"quercus.robur","Cheapside field",2,"2012-03-29",2012,89,145,"2007-2015
",2007,2015,1
228,"quercus.robur","Cheapside field",2,"2007-04-10",2007,100,55,"2007-2015
",2007,2015,1
229,"quercus.robur","Gunnes's hill",2,"2013-04-30",2013,120,78,"2007-2015
",2007,2015,1
230,"quercus.robur","Gunnes's thicket",2,"2012-04-06",2012,97,148,"2007-2015
",2007,2015,1
231,"quercus.robur","Gunnes's thicket",2,"2007-04-08",2007,98,193,"2007-2015
",2007,2015,1
232,"quercus.robur","Gunnes's thicket",2,"2010-04-26",2010,116,126,"2007-2015
",2007,2015,1
233,"quercus.robur","Gunnes's thicket",2,"2012-04-22",2012,113,68,"2007-2015
",2007,2015,1
234,"quercus.robur","Gunnes's thicket",2,"2007-04-06",2007,96,140,"2007-2015
",2007,2015,1
235,"quercus.robur","Gunnes's thicket",2,"2007-04-12",2007,102,123,"2007-2015
",2007,2015,1
236,"quercus.robur","Gunnes's thicket",2,"2012-04-06",2012,97,126,"2007-2015
",2007,2015,1
237,"quercus.robur","Gunnes's thicket",2,"2007-04-12",2007,102,194,"2007-2015
",2007,2015,1
237,"quercus.robur","Gunnes's thicket",2,"2016-04-17",2016,108,204,"2016-2019
",2016,2019,2
238,"quercus.robur","Gunnes's thicket",2,"2012-04-14",2012,105,79,"2007-2015
",2007,2015,1
239,"quercus.robur","Gunnes's thicket",2,"2007-04-18",2007,108,70,"2007-2015
",2007,2015,1
240,"quercus.robur","Gunnes's thicket",2,"2007-04-10",2007,100,166,"2007-2015
",2007,2015,1
241,"quercus.robur","Gunnes's thicket",2,"2010-04-26",2010,116,124,"2007-2015
",2007,2015,1
242,"quercus.robur","Gunnes's thicket",2,"2010-04-24",2010,114,132,"2007-2015
",2007,2015,1
243,"quercus.robur","Gunnes's thicket",2,"2010-04-26",2010,116,71,"2007-2015
",2007,2015,1
244,"quercus.robur","Gunnes's thicket",2,"2007-04-14",2007,104,69,"2007-2015
",2007,2015,1
245,"quercus.robur","Gunnes's thicket",2,"2012-04-20",2012,111,118,"2007-2015
",2007,2015,1
246,"quercus.robur","Gunnes's thicket",2,"2007-04-10",2007,100,82,"2007-2015
",2007,2015,1
248,"quercus.robur","Cheapside field",2,"2007-04-16",2007,106,35,"2007-2015
",2007,2015,1
250,"quercus.robur","Gunnes's thicket",2,"2012-04-03",2012,94,51,"2007-2015
",2007,2015,1
251,"quercus.robur","Farm wood",2,"2012-04-05",2012,96,103,"2007-2015
",2007,2015,1
252,"quercus.robur","Cascade marsh",2,"2007-04-10",2007,100,92,"2007-2015
",2007,2015,1
254,"quercus.robur","Pound hill field",2,"2012-04-13",2012,104,53,"2007-2015
",2007,2015,1
255,"quercus.robur","Cheapside field",2,"2007-04-14",2007,104,75,"2007-2015
",2007,2015,1
256,"quercus.robur","Cascade marsh",2,"2007-04-05",2007,95,93,"2007-2015
",2007,2015,1
257,"quercus.robur","Cascade marsh",2,"2007-04-10",2007,100,153,"2007-2015
",2007,2015,1
